common_name	iupac_name	formula	charge	v0_cm3_per_mol	uncertainty_cm3_per_mol	basis	doi
tetra-n-butylammonium	tetrabutylazanium	C16H36N	1	275.66		derived	10.1021/cr60270a001
tetraphenylarsonium	tetraphenylarsanium	C24H20As	1	300.65		derived	10.1021/cr60270a001
beryllium	beryllium(2+)	Be	2	-12.0		derived	10.1021/cr60270a001
magnesium	magnesium(2+)	Mg	2	-21.17		derived	10.1021/cr60270a001
calcium	calcium(2+)	Ca	2	-17.85		derived	10.1021/cr60270a001
strontium	strontium(2+)	Sr	2	-18.16		derived	10.1021/cr60270a001
barium	barium(2+)	Ba	2	-12.47		derived	10.1021/cr60270a001
manganese(II)	manganese(2+)	Mn	2	-17.7		derived	10.1021/cr60270a001
iron(II)	iron(2+)	Fe	2	-24.7		derived	10.1021/cr60270a001
cobalt	cobalt(2+)	Co	2	-24.0		derived	10.1021/cr60270a001
nickel	nickel(2+)	Ni	2	-24.0		derived	10.1021/cr60270a001
copper	copper(2+)	Cu	2	-27.76		derived	10.1021/cr60270a001
zinc	zinc(2+)	Zn	2	-21.6		derived	10.1021/cr60270a001
cadmium	cadmium(2+)	Cd	2	-20.0		derived	10.1021/cr60270a001
mercury(II)	mercury(2+)	Hg	2	-19.3		derived	10.1021/cr60270a001
lead	lead(2+)	Pb	2	-15.5		derived	10.1021/cr60270a001
aluminum	aluminium(3+)	Al	3	-42.2		derived	10.1021/cr60270a001
iron(III)	iron(3+)	Fe	3	-43.7		derived	10.1021/cr60270a001
chromium(III)	chromium(3+)	Cr	3	-39.5		derived	10.1021/cr60270a001
lanthanum	lanthanum(3+)	La	3	-39.10		derived	10.1021/cr60270a001
thorium	thorium(4+)	Th	4	-53.5		derived	10.1021/cr60270a001
fluoride	fluoride	F	-1	-1.16		derived	10.1021/cr60270a001
chloride	chloride	Cl	-1	17.83		derived	10.1021/cr60270a001
bromide	bromide	Br	-1	24.71		derived	10.1021/cr60270a001
iodide	iodide	I	-1	36.22		derived	10.1021/cr60270a001
hydroxide	hydroxide	OH	-1	-4.04		derived	10.1021/cr60270a001
perchlorate	perchlorate	ClO4	-1	40.7		derived	10.1021/cr60270a001
nitrate	nitrate	NO3	-1	26.2		derived	10.1021/cr60270a001
nitrite	nitrite	NO2	-1	29.00		derived	10.1021/cr60270a001
thiocyanate	thiocyanate	SCN	-1	35.7		derived	10.1021/cr60270a001
formate	formate	CHO2	-1	26.27		derived	10.1021/cr60270a001
acetate	acetate	C2H3O2	-1	40.46		derived	10.1021/cr60270a001
chlorate	chlorate	ClO3	-1	44.12		derived	10.1021/cr60270a001
bromate	bromate	BrO3	-1	35.3		derived	10.1021/cr60270a001
iodate	iodate	IO3	-1	25.3		derived	10.1021/cr60270a001
bicarbonate	hydrogen carbonate	HCO3	-1	23.4		derived	10.1021/cr60270a001
permanganate	permanganate	MnO4	-1	38.5		derived	10.1021/cr60270a001
carbonate	carbonate	CO3	-2	-9.8		derived	10.1021/cr60270a001
sulfate	sulfate	SO4	-2	11.1		derived	10.1021/cr60270a001
chromate	chromate	CrO4	-2	13.6		derived	10.1021/cr60270a001
hydrogen phosphate	hydrogen phosphate	HPO4	-2	7.7		derived	10.1021/cr60270a001
guanidinium acetate	guanidinium acetate	C3H9N3O2	0	90.0		measured	10.1246/bcsj.51.2508
guanidinium propionate	guanidinium propanoate	C4H11N3O2	0	103.6		measured	10.1246/bcsj.51.2508
guanidinium benzoate	guanidinium benzoate	C8H11N3O2	0	136.4		measured	10.1246/bcsj.51.2508
tripotassium citrate	tripotassium 2-hydroxypropane-1,2,3-tricarboxylate	K3C6H5O7	0	95.245		measured	10.1021/je7001368
sodium oxalate	disodium ethanedioate	Na2C2O4	0	20.77	0.07	measured	10.1021/je0502400
potassium oxalate	dipotassium ethanedioate	K2C2O4	0	41.90	0.17	measured	10.1021/je0502400
sodium malonate	disodium propanedioate	Na2C3H2O4	0	35.81	0.26	measured	10.1021/je0502400
sodium succinate	disodium butanedioate	Na2C4H4O4	0	52.03	0.15	measured	10.1021/je0502400
sodium tartrate	disodium 2,3-dihydroxybutanedioate	Na2C4H4O6	0	57.35		measured	10.1021/je050498q
tartrate	2,3-dihydroxybutanedioate	C4H4O6	-2	59.77		derived	10.1021/je050498q
sodium acetate	sodium acetate	C2H3NaO2	0	40.99		measured	10.1016/j.jct.2016.12.001
sodium benzoate	sodium benzoate	C7H5NaO2	0	89.51		measured	10.1016/j.jct.2016.12.001
zinc chloride	zinc dichloride	ZnCl2	0	10.08	0.28	measured	10.1007/BF00652987
zinc perchlorate	zinc diperchlorate	ZnCl2O8	0	63.14	0.04	measured	10.1007/BF00652987
lithium perchlorate	lithium perchlorate	ClLiO4	0	43.21	0.03	measured	10.1021/acs.jced.5b00535
disodium hydrogen citrate	disodium hydrogen 2-hydroxypropane-1,2,3-tricarboxylate	C6H6Na2O7	0	86.157		measured	10.1021/je100864e
sodium dihydrogen citrate	sodium dihydrogen 2-hydroxypropane-1,2,3-tricarboxylate	C6H7NaO7	0	102.6137		measured	10.1021/je100864e
tetramethylammonium bromide	tetramethylazanium bromide	C4H12BrN	0	114.05	0.04	measured	10.1007/s10953-006-8936-1
tetraethylammonium bromide	tetraethylazanium bromide	C8H20BrN	0	172.73	0.04	measured	10.1007/s10953-006-8936-1
butyltriethylammonium bromide	butyl(triethyl)azanium bromide	C10H24BrN	0	203.45	0.08	measured	10.1007/s10953-006-8936-1
dibutyldiethylammonium bromide	dibutyl(diethyl)azanium bromide	C12H28BrN	0	224.47	0.05	measured	10.1007/s10953-006-8936-1
tributylethylammonium bromide	tributyl(ethyl)azanium bromide	C14H32BrN	0	279.87	0.04	measured	10.1007/s10953-006-8936-1
tetrabutylammonium bromide	tetrabutylazanium bromide	C16H36BrN	0	300.38	0.04	measured	10.1007/s10953-006-8936-1
lanthanum chloride	lanthanum trichloride	LaCl3	0	14.51		measured	10.1021/j100880a003
praseodymium chloride	praseodymium(3+) trichloride	PrCl3	0	10.96		measured	10.1021/j100880a003
neodymium chloride	neodymium(3+) trichloride	NdCl3	0	10.18		measured	10.1021/j100880a003
samarium chloride	samarium(3+) trichloride	SmCl3	0	11.16		measured	10.1021/j100880a003
gadolinium chloride	gadolinium(3+) trichloride	GdCl3	0	13.08		measured	10.1021/j100880a003
terbium chloride	terbium(3+) trichloride	TbCl3	0	13.25		measured	10.1021/j100880a003
dysprosium chloride	dysprosium(3+) trichloride	DyCl3	0	12.66		measured	10.1021/j100880a003
holmium chloride	holmium(3+) trichloride	HoCl3	0	11.73		measured	10.1021/j100880a003
erbium chloride	erbium(3+) trichloride	ErCl3	0	10.63		measured	10.1021/j100880a003
ytterbium chloride	ytterbium(3+) trichloride	YbCl3	0	9.27		measured	10.1021/j100880a003
lanthanum nitrate	lanthanum trinitrate	LaN3O9	0	49.37		measured	10.1021/j100880a003
neodymium nitrate	neodymium(3+) trinitrate	NdN3O9	0	44.74		measured	10.1021/j100880a003
erbium nitrate	erbium(3+) trinitrate	ErN3O9	0	45.28		measured	10.1021/j100880a003
ytterbium nitrate	ytterbium(3+) trinitrate	YbN3O9	0	43.37		measured	10.1021/j100880a003
calcium sulfate	calcium sulfate	CaSO4	0	-3.87		derived	10.1007/BF00645458
imidazolium chloride	1H-imidazol-3-ium chloride	C3H5ClN2	0	76.0		derived	10.1006/jcht.2002.0944
imidazole	1H-imidazole	C3H4N2	0	60.0		derived	10.1006/jcht.2002.0944
choline acetate	(2-hydroxyethyl)trimethylazanium acetate	C7H17NO3	0	163.93	0.022	measured	10.1016/j.molliq.2019.110878
methyl potassium malonate	potassium 3-methoxy-3-oxopropanoate	C4H5KO4	0	82.939		measured	10.1016/j.jct.2011.11.014
ethyl potassium malonate	potassium 3-ethoxy-3-oxopropanoate	C5H7KO4	0	99.149		measured	10.1016/j.jct.2011.11.014
1-hexyl-3-methylimidazolium chloride	1-hexyl-3-methyl-1H-imidazol-3-ium chloride	C10H19ClN2	0	192.499		measured	10.1016/j.jct.2011.11.014
lithium chloride	lithium chloride	LiCl	0	16.09		measured	10.1021/j100845a031
lithium chloride	lithium chloride	LiCl	0	16.95		measured	10.1021/j100845a031
sodium chloride	sodium chloride	NaCl	0	14.02		measured	10.1021/j100845a031
lithium bromide	lithium bromide	LiBr	0	23.80		measured	10.1021/j100845a031
lithium iodide	lithium iodide	LiI	0	35.37		measured	10.1021/j100845a031
lithium iodide	lithium iodide	LiI	0	33.39		measured	10.1021/j100845a031
sodium bromide	sodium bromide	NaBr	0	23.57		measured	10.1021/j100845a031
sodium iodide	sodium iodide	NaI	0	34.98		measured	10.1021/j100845a031
tetramethylammonium bromide	tetramethylazanium bromide	C4H12BrN	0	114.8		measured	10.1021/j100791a042
tetraethylammonium bromide	tetraethylazanium bromide	C8H20BrN	0	175.3		measured	10.1021/j100791a042
tetrapropylammonium bromide	tetrapropylazanium bromide	C12H28BrN	0	240.8		measured	10.1021/j100791a042
tetrabutylammonium bromide	tetrabutylazanium bromide	C16H36BrN	0	302.9		measured	10.1021/j100791a042
tetrapentylammonium bromide	tetrapentylazanium bromide	C20H44BrN	0	365.6		measured	10.1021/j100791a042
potassium dihydrogen phosphate	potassium dihydrogen phosphate	KH2PO4	0	43.5	1.8	derived	10.1016/j.jct.2013.01.012
dipotassium hydrogen phosphate	dipotassium hydrogen phosphate	K2HPO4	0	34.4	0.7	derived	10.1016/j.jct.2013.01.012
tripotassium phosphate	tripotassium phosphate	K3PO4	0	25.2	2.5	derived	10.1016/j.jct.2013.01.012
trisodium phosphate	trisodium phosphate	Na3PO4	0	-12.2	1.7	derived	10.1016/j.jct.2013.01.012
sodium dihydrogen phosphate	sodium dihydrogen phosphate	NaH2PO4	0	34.0	0.1	derived	10.1016/j.jct.2013.01.012
lithium dihydrogen phosphate	lithium dihydrogen phosphate	LiH2PO4	0	34.9	1.1	derived	10.1016/j.jct.2013.01.012
disodium hydrogen phosphate	disodium hydrogen phosphate	Na2HPO4	0	14.2	8.4	derived	10.1016/j.jct.2013.01.012
sodium formate	sodium formate	CHNaO2	0	25.127	0.5	measured	10.1021/je200964m
sodium acetate	sodium acetate	C2H3NaO2	0	39.344	0.5	measured	10.1021/je200964m
sodium propanoate	sodium propanoate	C3H5NaO2	0	53.912	1.0	measured	10.1021/je200964m
sodium butanoate	sodium butanoate	C4H7NaO2	0	68.703	0.5	measured	10.1021/je200964m
sodium tartrate	disodium 2,3-dihydroxybutanedioate	Na2C4H4O6	0	57.87		measured	10.1016/0378-3812(90)85049-G
sodium hydrogen tartrate	sodium hydrogen 2,3-dihydroxybutanedioate	C4H5NaO6	0	71.01		measured	10.1016/0378-3812(90)85049-G
sodium potassium tartrate	potassium sodium 2,3-dihydroxybutanedioate	C4H4KNaO6	0	67.44		measured	10.1016/0378-3812(90)85049-G
ammonium tartrate	diammonium 2,3-dihydroxybutanedioate	C4H12N2O6	0	96.06		measured	10.1016/0378-3812(90)85049-G
tartrate	2,3-dihydroxybutanedioate	C4H4O6	-2	60.1	0.4	derived	10.1016/0378-3812(90)85049-G
hydrogen tartrate	hydrogen 2,3-dihydroxybutanedioate	C4H5O6	-1	72.22		derived	10.1016/0378-3812(90)85049-G
trisodium citrate	trisodium 2-hydroxypropane-1,2,3-tricarboxylate	C6H5Na3O7	0	69.32		measured	10.1016/0378-3812(90)85049-G
tripotassium citrate	tripotassium 2-hydroxypropane-1,2,3-tricarboxylate	K3C6H5O7	0	98.43		measured	10.1016/0378-3812(90)85049-G
disodium hydrogen citrate	disodium hydrogen 2-hydroxypropane-1,2,3-tricarboxylate	C6H6Na2O7	0	86.12		measured	10.1016/0378-3812(90)85049-G
citrate	2-hydroxypropane-1,2,3-tricarboxylate	C6H5O7	-3	72	1	derived	10.1016/0378-3812(90)85049-G
hydrogen citrate	hydrogen 2-hydroxypropane-1,2,3-tricarboxylate	C6H6O7	-2	88.5		derived	10.1016/0378-3812(90)85049-G
disodium malate	disodium 2-hydroxybutanedioate	C4H4Na2O5	0	66.77		measured	10.1016/0378-3812(90)85049-G
malate	2-hydroxybutanedioate	C4H4O5	-2	69.19		derived	10.1016/0378-3812(90)85049-G
hydrogen malate	hydrogen 2-hydroxybutanedioate	C4H5O5	-1	75.4		derived	10.1016/0378-3812(90)85049-G
disodium maleate	disodium (2Z)-but-2-enedioate	C4H2Na2O4	0	47.69		measured	10.1016/0378-3812(90)85049-G
maleate	(2Z)-but-2-enedioate	C4H2O4	-2	50.11		derived	10.1016/0378-3812(90)85049-G
hydrogen maleate	hydrogen (2Z)-but-2-enedioate	C4H3O4	-1	61.6		derived	10.1016/0378-3812(90)85049-G
disodium oxalate	disodium ethanedioate	Na2C2O4	0	22.60		measured	10.1016/0378-3812(90)85049-G
oxalate	ethanedioate	C2O4	-2	25.02		derived	10.1016/0378-3812(90)85049-G
hydrogen oxalate	hydrogen ethanedioate	C2HO4	-1	34.0		derived	10.1016/0378-3812(90)85049-G
sodium lactate	sodium 2-hydroxypropanoate	C3H5NaO3	0	54.70		measured	10.1016/0378-3812(90)85049-G
lactate	2-hydroxypropanoate	C3H5O3	-1	55.9		derived	10.1016/0378-3812(90)85049-G
ascorbic acid	(5R)-5-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxyfuran-2(5H)-one	C6H8O6	0	106.49	0.08	measured	10.1139/v93-123
tabs	4-{[1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl]amino}butane-1-sulfonic acid	C8H19NO6S	0	169.24		measured	10.1021/je900260g
tapso	3-{[1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl]amino}-2-hydroxypropane-1-sulfonic acid	C7H17NO7S	0	153.12	0.50	derived	10.1016/j.jct.2008.12.011
pipes	2,2'-(piperazine-1,4-diyl)bis(ethane-1-sulfonic acid)	C8H18N2O6S2	0	188.6	6.4	predicted	10.1007/BF02311772
ches	2-(cyclohexylamino)ethane-1-sulfonic acid	C8H17NO3S	0	146.6	6.4	predicted	10.1007/BF02311772
caps	3-(cyclohexylamino)propane-1-sulfonic acid	C9H19NO3S	0	160.0	6.4	predicted	10.1007/BF02311772
bis-tris	2-[bis(2-hydroxyethyl)amino]-2-(hydroxymethyl)propane-1,3-diol	C8H19NO5	0	152.5	6.4	predicted	10.1007/BF02311772
bicine	2-[bis(2-hydroxyethyl)amino]acetic acid	C6H13NO4	0	115.9	6.4	predicted	10.1007/BF02311772
ada	2-[bis(carboxymethyl)amino]acetamide	C6H10N2O5	0	122.8	6.4	predicted	10.1007/BF02311772
dtt	1,4-disulfanylbutane-2,3-diol	C4H10O2S2	0	103.6	6.4	predicted	10.1007/BF02311772
tcep	3,3',3''-phosphanetriyltripropanoic acid	C9H15O6P	0	169.3	6.4	predicted	10.1007/BF02311772
tricine	2-{[1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl]amino}acetic acid	C6H13NO5	0	121.5	6.4	predicted	10.1007/BF02311772
taps	3-{[1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl]amino}propane-1-sulfonic acid	C7H17NO6S	0	160.3	6.4	predicted	10.1007/BF02311772
citric acid	2-hydroxypropane-1,2,3-tricarboxylic acid	C6H8O7	0	112.44		measured	10.1016/0021-9614(85)90057-6
malic acid	2-hydroxybutanedioic acid	C4H6O5	0	88.22		measured	10.1016/0021-9614(85)90057-6
maleic acid	(2Z)-but-2-enedioic acid	C4H4O4	0	75.65		measured	10.1016/0021-9614(85)90057-6
mes	2-(morpholin-4-yl)ethane-1-sulfonic acid	C6H13NO4S	0	129.51	0.04	measured	10.1016/j.tca.2010.04.004
mops	3-(morpholin-4-yl)propane-1-sulfonic acid	C7H15NO4S	0	145.71	0.40	measured	10.1016/j.tca.2010.04.004
mopso	2-hydroxy-3-(morpholin-4-yl)propane-1-sulfonic acid	C7H15NO5S	0	145.92	0.06	measured	10.1016/j.tca.2010.04.004
mobs	4-(morpholin-4-yl)butane-1-sulfonic acid	C8H17NO4S	0	160.25	0.09	measured	10.1016/j.tca.2010.04.004
dmea	2-(dimethylamino)ethan-1-ol	C4H11NO	0	93.5	0.1	measured	10.1021/acs.jced.1c00352
tris	2-amino-2-(hydroxymethyl)propane-1,3-diol	C4H11NO3	0	90.63	0.05	measured	10.1016/j.dsr.2015.06.008
hepes	2-[4-(2-hydroxyethyl)piperazin-1-yl]ethane-1-sulfonic acid	C8H18N2O4S	0	152.8	3.1	predicted	10.1007/BFb0115599
methane	methane	CH4	0	37.3		measured	10.1007/BF00646936
ethane	ethane	C2H6	0	51.2		measured	10.1007/BF00646936
propane	propane	C3H8	0	67.0		measured	10.1007/BF00646936
fluoromethane	fluoromethane	CH3F	0	35.9		measured	10.1007/BF00646936
chloromethane	chloromethane	CH3Cl	0	46.2		measured	10.1007/BF00646936
dichloromethane	dichloromethane	CH2Cl2	0	58.1		measured	10.1007/BF00646936
trichloromethane	trichloromethane	CHCl3	0	72.3		measured	10.1007/BF00646936
bromomethane	bromomethane	CH3Br	0	53.0		measured	10.1007/BF00646936
iodomethane	iodomethane	CH3I	0	63.7		measured	10.1007/BF00646936
bromoethane	bromoethane	C2H5Br	0	66.7		measured	10.1007/BF00646936
1-bromopropane	1-bromopropane	C3H7Br	0	82.2		measured	10.1007/BF00646936
allyl bromide	3-bromoprop-1-ene	C3H5Br	0	77.6		measured	10.1007/BF00646936
benzene	benzene	C6H6	0	83.1		measured	10.1007/BF00646936
toluene	methylbenzene	C7H8	0	97.7		measured	10.1007/BF00646936
nitrobenzene	nitrobenzene	C6H5NO2	0	97.7		measured	10.1007/BF00646936
methanol	methanol	CH4O	0	38.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
ethanol	ethanol	C2H6O	0	55.1		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
allyl alcohol	prop-2-en-1-ol	C3H6O	0	64.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1-butanol	butan-1-ol	C4H10O	0	86.6		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1-hexanol	hexan-1-ol	C6H14O	0	118.7		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-methoxyethanol	2-methoxyethan-1-ol	C3H8O2	0	75.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-ethoxyethanol	2-ethoxyethan-1-ol	C4H10O2	0	91.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-propoxyethanol	2-propoxyethan-1-ol	C5H12O2	0	107.1		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-butoxyethanol	2-butoxyethan-1-ol	C6H14O2	0	123.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cyclobutanol	cyclobutan-1-ol	C4H8O	0	75.6		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cyclopentanol	cyclopentan-1-ol	C5H10O	0	89.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cyclohexanol	cyclohexan-1-ol	C6H12O	0	103.5		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cyclooctanol	cyclooctan-1-ol	C8H16O	0	129.7		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cyclopropylmethanol	cyclopropylmethanol	C4H8O	0	76.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1-cyclopropylethanol	1-cyclopropylethan-1-ol	C5H10O	0	92.4		measured	Edward, J. T.; Farrell, P. G.; Shahidi, F. J. Chem. Soc., Faraday Trans. 1 1977, 73, 705-714
ethylene glycol	ethane-1,2-diol	C2H6O2	0	54.6		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,2-propanediol	propane-1,2-diol	C3H8O2	0	71.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,3-propanediol	propane-1,3-diol	C3H8O2	0	71.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,4-butanediol	butane-1,4-diol	C4H10O2	0	88.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2,3-butanediol	butane-2,3-diol	C4H10O2	0	86.6		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,6-hexanediol	hexane-1,6-diol	C6H14O2	0	120.4		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,8-octanediol	octane-1,8-diol	C8H18O2	0	152.6		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
diethylene glycol	2-(2-hydroxyethoxy)ethan-1-ol	C4H10O3	0	92.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
triethylene glycol	2-[2-(2-hydroxyethoxy)ethoxy]ethan-1-ol	C6H14O4	0	129.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
tetraethylene glycol	2-{2-[2-(2-hydroxyethoxy)ethoxy]ethoxy}ethan-1-ol	C8H18O5	0	166.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
glycerol	propane-1,2,3-triol	C3H8O3	0	70.6		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
erythritol	meso-butane-1,2,3,4-tetrol	C4H10O4	0	87.1		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
pentaerythritol	2,2-bis(hydroxymethyl)propane-1,3-diol	C5H12O4	0	101.8		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cis-1,2-cyclohexanediol	cis-cyclohexane-1,2-diol	C6H12O2	0	101.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
trans-1,2-cyclohexanediol	trans-cyclohexane-1,2-diol	C6H12O2	0	103.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,4-cyclohexanediol	cyclohexane-1,4-diol	C6H12O2	0	105.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
cis-1,5-cyclooctanediol	cis-cyclooctane-1,5-diol	C8H16O2	0	132.5		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,3-adamantanediol	adamantane-1,3-diol	C10H16O2	0	138.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
1,4-adamantanediol	adamantane-1,4-diol	C10H16O2	0	139.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
phenol	phenol	C6H6O	0	86.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
4-nitrophenol	4-nitrophenol	C6H5NO3	0	98.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
catechol	benzene-1,2-diol	C6H6O2	0	87.1		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
resorcinol	benzene-1,3-diol	C6H6O2	0	88.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
hydroquinone	benzene-1,4-diol	C6H6O2	0	88.7		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
ethanolamine	2-aminoethan-1-ol	C2H7NO	0	59.3		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
3-amino-1-propanol	3-aminopropan-1-ol	C3H9NO	0	75.2		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
4-amino-1-butanol	4-aminobutan-1-ol	C4H11NO	0	91.2		measured	10.1007/BF00646936
6-amino-1-hexanol	6-aminohexan-1-ol	C6H15NO	0	123.4		measured	10.1007/BF00646936
2-(methylamino)ethanol	2-(methylamino)ethan-1-ol	C3H9NO	0	77.1		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-(ethylamino)ethanol	2-(ethylamino)ethan-1-ol	C4H11NO	0	92.9		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
2-(diethylamino)ethanol	2-(diethylamino)ethan-1-ol	C6H15NO	0	123.0		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
diethanolamine	2,2'-(azanediyl)bis(ethan-1-ol)	C4H11NO2	0	94.4		measured	10.1007/BF00646936
n-ethyldiethanolamine	2,2'-(ethylazanediyl)bis(ethan-1-ol)	C6H15NO2	0	125.0		measured	10.1007/BF00646936
triethanolamine	2,2',2''-nitrilotris(ethan-1-ol)	C6H15NO3	0	127.8		measured	10.1007/BF00646936
diethyl ether	ethoxyethane	C4H10O	0	90.4		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
dimethoxymethane	dimethoxymethane	C3H8O2	0	80.4		measured	Hoiland, H. In Thermodynamic Data for Biochemistry and Biotechnology; Hinz, H.-J., Ed.; Springer-Verlag, 1986; pp 17-44
